pan max
pan_gene_10756 2
pan_gene_10760 2
pan_gene_10764 2
pan_gene_10765 2
pan_gene_10769 2
pan_gene_10770 2
pan_gene_10780 2
pan_gene_10785 4
pan_gene_10793 2
pan_gene_10795 2
pan_gene_10796 3
pan_gene_10800 2
pan_gene_10803 2
pan_gene_10809 2
pan_gene_10811 2
pan_gene_10816 2
pan_gene_10819 2
pan_gene_10822 2
pan_gene_10823 2
pan_gene_10836 2
pan_gene_10837 2
pan_gene_10843 2
pan_gene_10844 3
pan_gene_10845 2
pan_gene_10847 3
pan_gene_10849 2
pan_gene_1085 2
pan_gene_10892 2
pan_gene_10893 2
pan_gene_1093 2
pan_gene_1096 2
pan_gene_11 3
pan_gene_1101 4
pan_gene_11010 2
pan_gene_1102 2
pan_gene_1104 2
pan_gene_1106 2
pan_gene_11066 3
pan_gene_11067 3
pan_gene_11069 2
pan_gene_11074 2
pan_gene_11075 2
pan_gene_11077 2
pan_gene_11078 2
pan_gene_11081 2
pan_gene_11085 2
pan_gene_11098 2
pan_gene_11099 2
pan_gene_11115 2
pan_gene_11124 2
pan_gene_11134 2
pan_gene_11137 2
pan_gene_11146 2
pan_gene_11149 2
pan_gene_1115 2
pan_gene_1116 2
pan_gene_11163 2
pan_gene_11167 2
pan_gene_11171 2
pan_gene_11173 2
pan_gene_11174 2
pan_gene_11179 2
pan_gene_11186 4
pan_gene_11195 2
pan_gene_11197 2
pan_gene_11198 2
pan_gene_1120 2
pan_gene_11200 4
pan_gene_11211 2
pan_gene_11213 2
pan_gene_11216 2
pan_gene_11220 2
pan_gene_11225 2
pan_gene_1123 2
pan_gene_11237 2
pan_gene_11239 2
pan_gene_1124 2
pan_gene_11246 2
pan_gene_11247 2
pan_gene_11252 2
pan_gene_11255 2
pan_gene_11263 2
pan_gene_11264 6
pan_gene_11268 2
pan_gene_1127 2
pan_gene_11276 2
pan_gene_11285 2
pan_gene_1129 2
pan_gene_11290 2
pan_gene_11291 2
pan_gene_113 5
pan_gene_1130 2
pan_gene_11303 2
pan_gene_11305 2
pan_gene_11324 2
