pan max
pan_gene_10206 1
pan_gene_10207 1
pan_gene_102071 1
pan_gene_102085 1
pan_gene_10209 1
pan_gene_102097 1
pan_gene_102098 1
pan_gene_1021 1
pan_gene_10211 1
pan_gene_102113 1
pan_gene_10213 1
pan_gene_10214 1
pan_gene_102157 1
pan_gene_10216 1
pan_gene_102163 1
pan_gene_102164 1
pan_gene_102169 1
pan_gene_10217 1
pan_gene_10218 1
pan_gene_102180 1
pan_gene_102185 1
pan_gene_102191 1
pan_gene_102193 1
pan_gene_102194 1
pan_gene_102199 1
pan_gene_1022 1
pan_gene_10220 1
pan_gene_10222 1
pan_gene_10223 1
pan_gene_10225 1
pan_gene_10226 1
pan_gene_10228 1
pan_gene_10229 1
pan_gene_102294 1
pan_gene_102295 1
pan_gene_1023 1
pan_gene_10230 1
pan_gene_102315 1
pan_gene_10232 1
pan_gene_102327 1
pan_gene_10233 1
pan_gene_102331 1
pan_gene_102336 1
pan_gene_102343 1
pan_gene_10235 1
pan_gene_10237 1
pan_gene_102370 1
pan_gene_102376 1
pan_gene_10238 1
pan_gene_102380 1
pan_gene_102388 1
pan_gene_10239 1
pan_gene_102392 1
pan_gene_102393 1
pan_gene_1024 1
pan_gene_10240 1
pan_gene_10242 1
pan_gene_102420 1
pan_gene_102421 1
pan_gene_102437 1
pan_gene_10244 1
pan_gene_102449 1
pan_gene_102453 1
pan_gene_10246 1
pan_gene_10249 1
pan_gene_102491 1
pan_gene_1025 1
pan_gene_102506 1
pan_gene_102509 1
pan_gene_102512 1
pan_gene_102515 1
pan_gene_10252 1
pan_gene_102533 1
pan_gene_102548 1
pan_gene_10257 1
pan_gene_10258 1
pan_gene_102587 1
pan_gene_10259 1
pan_gene_102609 1
pan_gene_102612 1
pan_gene_102619 1
pan_gene_10263 1
pan_gene_102635 1
pan_gene_10266 1
pan_gene_10268 1
pan_gene_1027 1
pan_gene_102738 1
pan_gene_10274 1
pan_gene_102749 1
pan_gene_10275 1
pan_gene_102761 1
pan_gene_10277 1
pan_gene_10278 1
pan_gene_10279 1
pan_gene_102793 1
pan_gene_102794 1
pan_gene_102795 1
pan_gene_102797 1
pan_gene_102799 1
pan_gene_1028 1
pan_gene_102806 1
pan_gene_10281 1
pan_gene_102814 1
pan_gene_102820 1
pan_gene_10283 1
pan_gene_102831 1
pan_gene_10284 1
pan_gene_102846 1
pan_gene_10285 1
pan_gene_102856 1
pan_gene_10286 1
pan_gene_10287 1
pan_gene_102879 1
pan_gene_10288 1
pan_gene_10289 1
pan_gene_102890 1
pan_gene_10290 1
pan_gene_10291 1
pan_gene_102910 1
pan_gene_10292 1
pan_gene_102921 1
pan_gene_102923 1
pan_gene_102924 1
pan_gene_102927 1
pan_gene_10293 1
pan_gene_102937 1
pan_gene_102939 1
pan_gene_10294 1
pan_gene_102944 1
pan_gene_102948 1
pan_gene_102951 1
pan_gene_10297 1
pan_gene_10298 1
pan_gene_102983 1
pan_gene_103 1
pan_gene_1030 1
pan_gene_10300 1
pan_gene_10301 1
pan_gene_10302 1
pan_gene_10303 1
pan_gene_10304 1
pan_gene_10306 1
pan_gene_10311 1
pan_gene_10313 1
pan_gene_10315 1
pan_gene_103163 1
pan_gene_103166 1
pan_gene_103173 1
pan_gene_103174 1
pan_gene_103177 1
pan_gene_103182 1
pan_gene_103186 1
pan_gene_103195 1
pan_gene_103202 1
pan_gene_103204 1
pan_gene_103225 1
pan_gene_103238 1
pan_gene_103240 1
pan_gene_10325 1
pan_gene_103258 1
pan_gene_10326 1
pan_gene_103268 1
pan_gene_103270 1
pan_gene_103277 1
pan_gene_10328 1
pan_gene_103293 1
pan_gene_10330 1
pan_gene_103303 1
pan_gene_10331 1
pan_gene_103315 1
pan_gene_103316 1
pan_gene_103317 1
pan_gene_103320 1
pan_gene_103321 1
pan_gene_10333 1
pan_gene_10334 1
pan_gene_10335 1
pan_gene_103354 1
pan_gene_103358 1
pan_gene_10336 1
pan_gene_103375 1
pan_gene_103377 1
pan_gene_103386 1
pan_gene_103387 1
pan_gene_1034 1
pan_gene_10341 1
pan_gene_103415 1
pan_gene_103416 1
pan_gene_10342 1
pan_gene_10343 1
pan_gene_103433 1
pan_gene_103443 1
pan_gene_10345 1
pan_gene_10346 1
pan_gene_10347 1
pan_gene_103473 1
pan_gene_1035 1
pan_gene_10350 1
pan_gene_103507 1
pan_gene_103514 1
pan_gene_103519 1
pan_gene_10352 1
pan_gene_103527 1
pan_gene_103535 1
pan_gene_10356 1
pan_gene_10357 1
pan_gene_10359 1
pan_gene_10361 1
pan_gene_10364 1
pan_gene_10368 1
pan_gene_10369 1
pan_gene_1037 1
pan_gene_10371 1
pan_gene_10373 1
pan_gene_10374 1
pan_gene_10375 1
pan_gene_10377 1
pan_gene_10381 1
pan_gene_10382 1
pan_gene_10383 1
pan_gene_10384 1
pan_gene_10385 1
pan_gene_10386 1
pan_gene_10387 1
pan_gene_10388 1
pan_gene_10389 1
pan_gene_1039 1
pan_gene_10390 1
pan_gene_10393 1
pan_gene_10395 1
pan_gene_10396 1
pan_gene_10397 1
pan_gene_10398 1
pan_gene_10400 1
pan_gene_10401 1
pan_gene_10403 1
pan_gene_10404 1
pan_gene_10407 1
pan_gene_1041 1
pan_gene_10410 1
pan_gene_10416 1
pan_gene_10417 1
pan_gene_10419 1
pan_gene_10420 1
pan_gene_10421 1
pan_gene_10422 1
pan_gene_10423 1
pan_gene_10424 1
pan_gene_10425 1
pan_gene_10426 1
pan_gene_10428 1
pan_gene_10431 1
pan_gene_10433 1
pan_gene_10435 1
pan_gene_10437 1
pan_gene_1044 1
pan_gene_10440 1
pan_gene_10441 1
pan_gene_10443 1
pan_gene_10446 1
pan_gene_10448 1
pan_gene_10449 1
pan_gene_10452 1
pan_gene_10455 1
pan_gene_10457 1
pan_gene_10461 1
pan_gene_10462 1
pan_gene_10463 1
pan_gene_10469 1
pan_gene_10471 1
pan_gene_10473 1
pan_gene_10474 1
pan_gene_10476 1
pan_gene_10477 1
pan_gene_10479 1
pan_gene_1048 1
pan_gene_10481 1
pan_gene_10484 1
pan_gene_10485 1
pan_gene_10486 1
pan_gene_10488 1
pan_gene_10490 1
pan_gene_10491 1
pan_gene_10492 1
pan_gene_10493 1
pan_gene_10494 1
pan_gene_10495 1
pan_gene_10496 1
pan_gene_10497 1
pan_gene_10498 1
pan_gene_1050 1
pan_gene_10500 1
pan_gene_10502 1
pan_gene_10504 1
pan_gene_10505 1
pan_gene_10506 1
pan_gene_10507 1
pan_gene_10510 1
pan_gene_10511 1
pan_gene_10512 1
pan_gene_10513 1
pan_gene_10514 1
pan_gene_10515 1
pan_gene_10516 1
pan_gene_10518 1
pan_gene_10519 1
pan_gene_1052 1
pan_gene_10522 1
pan_gene_10523 1
pan_gene_10524 1
pan_gene_10527 1
pan_gene_10528 1
pan_gene_10529 1
pan_gene_1053 1
pan_gene_10530 1
pan_gene_10531 1
pan_gene_10532 1
pan_gene_10533 1
pan_gene_10534 1
pan_gene_10537 1
pan_gene_10538 1
pan_gene_10539 1
pan_gene_1054 1
pan_gene_10540 1
pan_gene_10542 1
pan_gene_10543 1
pan_gene_10544 1
pan_gene_10545 1
pan_gene_10548 1
pan_gene_10549 1
pan_gene_1055 1
pan_gene_10551 1
pan_gene_10552 1
pan_gene_10553 1
pan_gene_10555 1
pan_gene_10556 1
pan_gene_10558 1
pan_gene_10561 1
pan_gene_10564 1
pan_gene_10567 1
pan_gene_10568 1
pan_gene_10570 1
