pan max
pan_gene_2012 3
pan_gene_20142 2
pan_gene_20160 2
pan_gene_20193 4
pan_gene_20199 2
pan_gene_20239 2
pan_gene_2026 5
pan_gene_20293 7
pan_gene_20324 2
pan_gene_20342 5
pan_gene_2035 4
pan_gene_20378 4
pan_gene_2039 3
pan_gene_20445 3
pan_gene_20571 2
pan_gene_20619 7
pan_gene_20700 4
pan_gene_20730 3
pan_gene_20846 4
pan_gene_20857 5
pan_gene_20900 3
pan_gene_20950 3
pan_gene_20982 2
pan_gene_20983 4
pan_gene_21023 4
pan_gene_21063 2
pan_gene_21097 2
pan_gene_21105 4
pan_gene_21108 4
pan_gene_21115 2
pan_gene_21121 3
pan_gene_21220 3
pan_gene_21292 5
pan_gene_21304 3
pan_gene_21352 3
pan_gene_21467 6
pan_gene_21493 3
pan_gene_21506 2
pan_gene_21521 2
pan_gene_21528 4
pan_gene_21649 2
pan_gene_21661 5
pan_gene_21662 8
pan_gene_21677 3
pan_gene_21692 2
pan_gene_217 5
pan_gene_21724 2
pan_gene_21769 3
pan_gene_21794 3
pan_gene_21836 8
pan_gene_21934 4
pan_gene_21958 3
pan_gene_21968 2
pan_gene_21970 2
pan_gene_21991 8
pan_gene_22050 5
pan_gene_22101 4
pan_gene_22149 4
pan_gene_22159 3
pan_gene_22188 3
pan_gene_22196 6
pan_gene_22199 3
pan_gene_222 3
pan_gene_22211 3
pan_gene_22220 2
pan_gene_22249 2
pan_gene_22254 3
pan_gene_22257 2
pan_gene_22280 2
pan_gene_22317 6
pan_gene_22318 3
pan_gene_22344 3
pan_gene_22349 2
pan_gene_22365 2
pan_gene_22405 3
pan_gene_22411 3
pan_gene_22460 3
pan_gene_22463 6
pan_gene_22471 6
pan_gene_22485 6
pan_gene_22497 5
pan_gene_22507 6
pan_gene_22513 3
pan_gene_22525 3
pan_gene_22539 12
pan_gene_22608 7
pan_gene_22618 3
pan_gene_22622 5
pan_gene_22703 9
pan_gene_22716 3
pan_gene_22732 2
pan_gene_22736 8
pan_gene_22756 3
pan_gene_22789 8
pan_gene_2281 8
pan_gene_22826 6
pan_gene_22849 3
pan_gene_22852 10
pan_gene_22864 3
pan_gene_22879 3
pan_gene_22880 3
pan_gene_22882 2
pan_gene_22894 3
pan_gene_22919 3
pan_gene_22933 2
pan_gene_22938 3
pan_gene_2299 2
pan_gene_23 3
pan_gene_23030 2
pan_gene_23330 3
pan_gene_23349 6
pan_gene_2335 4
pan_gene_23390 3
pan_gene_23394 2
pan_gene_23461 4
pan_gene_23464 2
pan_gene_23525 2
pan_gene_23526 2
pan_gene_23527 2
pan_gene_23535 10
pan_gene_23541 2
pan_gene_2355 2
pan_gene_23565 3
pan_gene_23574 11
pan_gene_2361 4
pan_gene_23633 3
pan_gene_23678 2
pan_gene_23688 3
pan_gene_23694 6
pan_gene_23717 2
pan_gene_23719 3
pan_gene_23761 2
pan_gene_23775 4
pan_gene_238 4
pan_gene_23800 3
pan_gene_23821 2
pan_gene_23855 3
pan_gene_23856 2
pan_gene_23874 2
pan_gene_23904 3
pan_gene_23945 2
pan_gene_23972 6
pan_gene_24053 2
pan_gene_2407 4
pan_gene_24135 3
pan_gene_24156 7
pan_gene_24243 6
pan_gene_24307 3
pan_gene_24328 4
pan_gene_24329 18
pan_gene_24348 4
pan_gene_24349 5
pan_gene_24353 5
pan_gene_24438 3
pan_gene_24449 3
pan_gene_24458 3
pan_gene_24594 6
pan_gene_24675 2
pan_gene_24746 9
pan_gene_2475 10
pan_gene_24765 5
pan_gene_24794 2
