pan,B73,B97,CML103,CML322,CML69,HP301,Il14H,Ki11,Ki3,Ky21,M37W,Mo18W,Ms71,NC350,NC358,Oh43,Oh7B,P39,Tx303,Tzi8
pan_gene_19023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_19024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.889557,6.59654,NA,NA,NA,NA,NA
pan_gene_19025,1.06264,9.00924,14.2345,17.6956,5.70728,10.0663,1.99015,10.2125,1.64141,1.33295,6.54872,11.8934,13.8198,8.11142,12.7746,20.8393,26.3725,9.62158,19.1901,2.3209
pan_gene_19026,2.17982,3.0142,8.76729,2.88319,1.59762,10.3683,5.60353,4.51673,1.14579,4.95989,1.53866,8.25434,NA,6.18847,7.55009,3.19406,9.05653,8.62014,4.83134,3.95193
pan_gene_19027,19.6921,8.13778,22.0798,15.6665,12.5699,32.0845,8.5603,13.9766,NA,24.194,3.71416,17.9993,8.98555,16.324,25.0412,27.0967,3.14981,12.4187,27.1042,11.4201
pan_gene_19028,52.9181,46.0458,47.7315,41.4155,54.9125,56.5286,36.9018,60.0925,33.5383,50.3776,34.7321,52.1703,36.8387,43.5541,47.515,43.2043,38.4946,37.7825,46.1656,48.6664
pan_gene_19029,14.0948,8.02155,19.5318,10.7955,11.93,15.4436,12.9928,NA,10.5068,NA,10.3587,16.3011,10.6269,10.0618,12.5523,NA,10.0781,NA,NA,4.20768
pan_gene_1903,18.6755,15.7894,23.6136,16.4124,23.7167,12.5087,17.4483,14.7152,14.4817,17.5802,19.7527,23.1093,14.8509,13.9531,13.7798,14.1259,16.4647,24.1954,17.5614,27.5136
pan_gene_19030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_19031,0.161244,NA,1.20684,0.806867,NA,NA,0.673165,0.323903,0.811189,0.876741,NA,0.839058,NA,0.984247,1.22917,0.708596,1.20693,NA,NA,NA
pan_gene_19032,25.4568,40.3971,46.4885,35.5049,24.4079,77.9484,28.1716,48.2329,39.396,68.4162,47.338,38.4104,51.7931,39.7446,53.9899,63.7659,82.5701,36.1049,38.2102,35.9407
pan_gene_19036,4.54192,6.04266,NA,NA,5.37456,NA,NA,5.54849,4.56914,NA,5.21553,NA,4.22168,5.83993,NA,5.62227,5.26314,6.29852,3.38826,NA
pan_gene_19037,7.98777,17.6207,17.7423,7.17476,NA,9.80706,12.4704,14.2977,NA,7.62884,10.4722,7.57079,12.1995,9.54852,11.5239,7.62764,8.13921,10.1789,NA,7.24645
pan_gene_19038,NA,NA,NA,NA,NA,11.488,4.00191,NA,NA,NA,NA,NA,NA,NA,NA,2.34646,NA,NA,NA,NA
pan_gene_19039,13.5367,8.73815,NA,10.9521,NA,7.44955,9.51185,NA,5.88319,10.0328,6.27533,14.6557,NA,NA,12.9244,NA,7.5597,14.9114,NA,8.12581
pan_gene_1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
