,B73,Tzi8,Ky21,Ms71,Oh7B,Oh43,M37W,Mo18W,NC350,HP301,Il14H,P39,CML69,Ki11,CML322,Ki3,CML103,Tx303,NC358,B97
pan_gene_51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_53,NA,NA,6.34322,4.88956,7.73741,8.27642,NA,4.0112,7.34061,6.50412,NA,NA,8.128,8.5762,5.42567,6.46488,6.40799,0.384068,7.25393,11.3238
pan_gene_54,NA,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,NA,0.0273804,NA,NA
pan_gene_55,NA,0,0,0,0,NA,0,0,0.0368093,0,0,0,0,0,0,0,0,0.123257,0,0
pan_gene_56,NA,29.3349,128.021,114.224,163.25,NA,20.5973,65.0926,35.5982,23.4442,59.9774,220.327,28.8897,39.9131,40.1875,26.3491,21.6997,51.812,55.6274,16.8202
pan_gene_57,NA,16.3659,14.3007,16.7747,14.6708,10.52,13.5847,NA,11.5179,15.21,17.3458,NA,13.7764,16.8738,NA,12.0702,NA,16.2369,14.907,16.1722
pan_gene_58,NA,8.27325,19.716,NA,NA,32.2069,NA,NA,NA,NA,12.676,NA,NA,NA,NA,NA,NA,55.5949,NA,NA
pan_gene_60,NA,0.0873974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_62,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0.647564
pan_gene_63,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_64,NA,1.20574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18334,NA,NA,NA,1.03556
pan_gene_65,NA,37.2023,NA,NA,NA,21.6814,38.8401,NA,34.6822,NA,NA,35.5554,NA,39.2143,NA,NA,NA,37.5702,17.9239,28.1863
pan_gene_66,NA,0.0321125,0.0455219,0.25415,0.217241,0.0394522,0.241269,0.0815997,0.0164695,0.0461385,0,0.215843,0.138823,0.110285,0.175738,0,0.194697,0.300424,0.29798,0.125471
pan_gene_67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_68,NA,0.960035,1.00242,0.725892,1.55235,0.521183,0.818253,1.7951,0.888728,1.27168,2.04543,0.908062,1.73725,1.68311,0.990188,0.76689,1.45695,0.830949,0.979078,0.962805
pan_gene_69,NA,15.8068,19.4516,18.1704,16.1999,19.1726,14.0624,23.8087,17.8603,17.0562,24.5318,24.4958,22.1151,22.544,17.9863,25.2356,18.5244,21.3207,15.1809,19.6917
pan_gene_70,NA,34.0435,NA,9.62016,8.3559,20.0855,52.5844,19.0251,32.2404,1.69242,11.1297,7.79225,48.7144,4.86643,17.3868,11.6102,38.9577,41.66,48.8459,6.1303
pan_gene_71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_72,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_73,NA,0,0,0,0,0,0.356235,0,0,0.352972,0.0672069,0,0,0,NA,0,0.173328,0.0377126,0,0
pan_gene_74,NA,0.93432,NA,NA,1.58624,5.94995,0.616096,NA,NA,NA,NA,NA,0.6304,NA,NA,NA,0,3.04681,3.76945,13.1733
pan_gene_75,NA,0.915597,0.472516,NA,0.805431,NA,NA,0.204773,0.491535,0.613796,3.04937,NA,NA,NA,NA,NA,1.00142,4.7915,NA,1.54546
