,B73,Tzi8,Ky21,Ms71,Oh7B,Oh43,M37W,Mo18W,NC350,HP301,Il14H,P39,CML69,Ki11,CML322,Ki3,CML103,Tx303,NC358,B97
pan_gene_10428,0.101902,0.101902,0.0601588,0.0534396,0.080598,NA,0.0986882,0.14259,NA,NA,NA,0.089027,NA,NA,0.111325,0.0441176,0.13974,0.154824,NA,0.583777
pan_gene_10429,3.85569,3.85569,2.71916,0.748649,1.55729,1.87528,1.56883,1.21662,1.93983,1.48969,1.42635,1.59439,3.88474,1.32466,1.64351,1.82708,2.49598,1.34228,2.57985,1.74925
pan_gene_10431,10.0014,10.0014,2.46043,12.0008,8.54528,2.26556,9.33387,3.90085,2.57902,7.68022,4.07417,1.94956,4.71066,8.8538,NA,4.25707,7.77468,2.03714,4.41229,19.8273
pan_gene_10433,34.0299,34.0299,61.6353,65.2919,72.5969,77.773,41.7956,63.2777,46.397,40.6025,55.0624,75.0994,38.1667,42.0033,80.673,26.8656,29.4061,74.4276,70.4691,45.1147
pan_gene_10434,0.830107,0.830107,0.826549,0.510063,0.204488,0.89221,0.707825,0.632926,0.884642,0.720378,0.737276,2.40465,0.653901,0.164454,4.85198,5.40442,0.0871502,0.971739,0.0770849,1.51489
pan_gene_10435,17.0599,17.0599,15.2154,15.0956,12.2805,9.14676,12.7846,11.5533,17.4512,17.922,14.5085,14.2459,16.4075,22.7809,14.2504,12.2722,14.6301,14.3601,16.4536,22.2617
pan_gene_10436,263.617,263.617,168.139,210.34,198.756,142.794,257.382,193.972,238.753,203.137,243.768,192.605,248.703,257.832,226.277,263.393,200.301,181.068,227.52,252.576
pan_gene_10437,6.05063,6.05063,5.7339,5.72437,7.9778,6.81254,7.92628,5.97694,8.42751,7.88168,6.10668,4.7503,6.82695,5.73576,5.654,6.27932,6.86411,6.23502,6.26262,6.27037
pan_gene_10438,15.4513,15.4513,16.2636,18.3852,26.3577,19.6214,21.8967,22.0434,26.144,19.5616,11.4372,17.6849,13.4969,24.4208,27.1384,22.2379,26.7742,13.083,25.4043,23.2848
pan_gene_10439,45.2396,45.2396,49.1562,42.3033,45.266,50.4029,28.8087,33.0209,36.3635,35.9727,34.1411,32.5946,28.2998,42.3723,31.5579,28.8402,46.7502,40.3429,41.2284,33.8309
pan_gene_10440,22.0867,22.0867,15.5789,11.5036,14.2387,18.5655,8.62535,12.7317,11.9117,NA,13.6356,19.1156,13.5589,11.4061,11.5332,12.8139,13.6924,14.884,13.4901,11.8387
pan_gene_10441,28.2699,28.2699,26.1761,26.26,25.2173,19.4518,27.1509,24.5774,27.2296,29.1417,30.676,22.1532,28.9411,30.0691,25.7702,33.1614,31.0197,28.1726,26.8808,36.182
pan_gene_10442,NA,NA,NA,0.499072,NA,NA,NA,NA,NA,0.714287,NA,NA,0.321761,NA,NA,NA,NA,NA,NA,NA
pan_gene_10443,0,0,0,0,0.096638,0,0,0,0,0,NA,0.280182,0.0383449,0,0,0,0,0,0.0465652,0
pan_gene_10445,NA,NA,NA,0.630896,NA,NA,NA,0.896554,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235686
pan_gene_10446,0.678216,0.678216,0.148948,0.53524,1.78174,1.95219,0.927738,0.209748,0.77637,NA,2.49644,NA,NA,NA,1.49101,0.311711,3.11289,0.480721,1.43856,NA
pan_gene_10448,14.0979,14.0979,9.73209,14.3394,11.9358,17.5777,12.5164,9.35388,10.8951,12.0826,10.4414,12.6448,14.2239,12.3768,10.007,9.58079,12.1747,13.8023,12.2609,18.7586
pan_gene_10449,3.68668,3.68668,3.47459,3.35695,4.02617,4.45749,2.71588,3.77558,0.629495,4.3381,2.79484,2.16419,3.68865,4.30941,2.26502,2.27113,4.59885,1.96453,4.41781,4.16521
pan_gene_10450,20.2792,20.2792,21.288,9.53003,8.40451,8.44848,17.6494,20.2852,18.7631,38.2672,8.00774,7.60771,15.8073,21.1862,13.0822,12.1771,20.412,6.20171,24.662,28.9089
pan_gene_10452,16.6347,16.6347,25.0682,34.5352,27.8906,27.4247,18.5463,18.9931,16.6786,12.6018,21.1222,18.4433,14.8504,16.0809,16.6838,14.2635,26.3275,19.7022,22.3312,7.77993
pan_gene_10454,NA,350.07,328.82,352.127,416.431,398.419,340.463,454.446,368.061,507.267,256.023,311.117,285.698,280.481,267.676,299.668,334.785,349.372,458.87,206.354
pan_gene_10455,0.205852,0.205852,0.41565,0.929764,NA,1.11349,0.336074,1.06405,0.736686,NA,0.381555,0.483638,0.308594,NA,0.621947,0.972111,1.43625,NA,0.546594,NA
pan_gene_10456,18.4053,18.4053,17.9997,49.7414,42.1097,44.0835,31.4384,29.4204,34.9034,31.072,41.9264,60.0728,28.7933,32.1003,41.2131,35.1848,46.4743,63.5566,64.5348,30.4547
pan_gene_10457,0,0,0,0.358203,0.19259,1.27006,0.040724,0.14127,0.0288574,0,0,1.05673,0.217649,0.0666348,1.13713,0,0.287641,0.903261,0.417352,0.0450259
pan_gene_10461,0.0615552,0.0615552,0,0,0.0556577,0,0,0,0,0,0,0,0,0,0,0,0,0.0549439,0.0280883,0
pan_gene_10462,1.73207,1.73207,0.0998966,0.0974272,0.254493,0.052776,0.200403,0.011829,0.995797,0.290912,0.0276429,0.149652,0.452791,0.0678314,1.15974,0.301539,0.130249,0.137001,0.917669,0.101105
pan_gene_10463,NA,NA,NA,0,0.0767096,0.0373629,0.149228,0,NA,0.0434683,NA,0,0,NA,0.0214419,0,0,0.0249005,NA,0.0294447
pan_gene_10469,0.136019,0.136019,0.220926,0.104476,0.157143,1.23222,1.25389,1.09853,0.806375,0.215673,0.104174,0.355446,2.54273,1.66725,0.318136,2.18458,1.43998,0.614965,0.723258,1.19841
pan_gene_10471,11.3017,11.3017,12.5973,6.3744,9.58069,10.0982,13.5126,14.65,17.0071,9.64155,13.3361,10.9115,19.6101,17.0049,11.4517,15.7967,22.0657,13.0873,14.6439,10.3746
pan_gene_10472,0.0718707,NA,NA,0.049516,0.0689886,0.0548744,0.0701819,0,0.0870367,0,0,NA,0.0564974,0,0.0343094,NA,0,0,NA,0.251307
pan_gene_10473,33.7904,33.7904,61.1642,37.861,61.1721,57.9175,27.6786,42.7975,30.6688,34.5354,37.8468,73.138,28.6261,45.3439,46.0137,25.7321,68.1509,68.3076,50.1188,38.37
pan_gene_10474,0.225711,0.225711,2.87087,5.94039,5.06471,5.93638,3.85308,0.271473,2.18632,4.21012,2.33214,1.86542,5.61547,0.747782,3.0483,0.74729,0.471169,7.65092,0.659687,0.768041
pan_gene_10476,1.57554,1.57554,3.17255,2.22832,2.18661,2.4475,0.363632,0.074894,1.06089,3.00396,1.12783,0.384827,NA,2.21528,0.485109,0.0979902,4.63397,3.51119,0.667697,0.31089
pan_gene_10477,NA,NA,0.0662004,0.324633,NA,0.740132,0.0223339,0.358521,0.0469406,0.0173081,0,1.12809,0.0507196,0,1.05144,0.0498859,0.250862,NA,0.114747,0.0242905
pan_gene_10479,12.4009,12.4009,1.46658,1.12905,0.516834,1.15773,0.836094,0.345564,28.8513,1.36515,0.264684,0.954558,0.360544,18.8855,0.380147,0.242539,1.20912,1.10589,0.95036,0.667332
pan_gene_10481,8.93934,8.93934,6.80987,6.67001,9.45964,8.27745,5.70627,7.6015,8.53484,11.4121,5.71702,5.92336,6.39426,12.1458,7.22669,5.43533,12.0792,6.09365,10.8225,9.99626
pan_gene_10483,0.09618,0.09618,NA,0.200302,0.0412854,0.0591783,0.0470303,NA,0.0999912,0.174484,0,0.036836,0.0684761,0.0843212,0.0673854,0,0.0447862,0.0796923,NA,0.0472403
pan_gene_10484,12.8979,12.8979,15.862,13.2047,16.402,19.9623,10.6138,17.6878,14.2972,16.2789,5.26803,10.5008,NA,7.19454,12.3156,8.27877,12.325,6.8961,23.2562,11.6652
pan_gene_10485,23.7917,23.7917,76.2116,123.261,32.7917,46.3245,NA,20.9296,NA,NA,72.2016,24.3707,75.1946,108.3,26.7512,55.07,89.5433,38.3797,45.1668,132.937
pan_gene_10486,21.0045,21.0045,20.6057,24.0779,21.1645,20.2821,18.9549,22.2225,18.2091,28.8357,18.4143,10.8083,14.7261,25.0921,18.3304,15.1664,29.6562,21.1435,24.0609,24.8728
pan_gene_10488,15.4329,15.4329,12.1061,18.357,12.1328,10.098,16.9617,15.9731,15.5672,10.2264,23.2166,11.7062,14.9432,17.6389,14.5071,19.5676,15.6539,12.4567,14.8379,17.8692
pan_gene_10490,7.98507,7.98507,5.90917,10.2317,10.4138,6.49367,10.1679,9.13848,10.2628,5.88197,10.7706,7.51802,8.15381,9.7148,9.50143,10.2467,10.1078,7.07054,11.5067,12.8742
pan_gene_10491,0.0712832,0.0712832,0.12323,0.908412,5.58677,3.32606,1.72507,1.67251,NA,0.332958,0.386667,1.17961,0.24888,0,0.399293,0.357763,0.424067,7.47412,0.574514,0.0265021
pan_gene_10492,0.0533534,0.0533534,0.0709506,0.0900625,0.021162,0.0155039,0.271315,0.100137,0.0126275,0.0183193,0,0.0386683,0.0714024,0.212972,0.0176843,0,0.0243742,0.0211299,0.0432029,0.0494281
pan_gene_10493,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pan_gene_10494,9.57205,9.57205,8.80986,NA,10.4912,10.9684,7.28032,9.23056,8.27346,11.2564,6.75686,9.92216,NA,9.22634,9.37362,4.84171,11.119,8.73516,9.07401,7.76918
pan_gene_10495,16.9143,16.9143,11.4142,9.39285,20.6621,14.0319,12.3833,14.8222,16.7005,13.5749,9.64911,11.8613,16.5197,20.092,15.673,NA,16.4747,18.1552,16.106,13.4791
pan_gene_10496,0.30684,0.30684,0.153808,0.406751,1.00076,0.928417,1.15922,0.383284,0.458964,0.50538,0.346145,NA,0.425815,0.371931,0.146866,2.08784,NA,1.03588,0.475221,0.596915
pan_gene_10497,0.126517,0.126517,5.84046,1.5792,0.765333,0.0307794,0.0474703,0.0898153,2.24092,0.415517,0.199778,0.18368,0.0367482,1.17262,0.620321,0,0,0.213003,3.59897,0.0948434
pan_gene_10498,10.4019,10.4019,24.4956,12.2799,25.2277,14.596,8.72184,4.57143,10.027,NA,10.4087,7.16995,NA,NA,NA,8.80021,NA,11.9234,14.948,NA
pan_gene_10500,10.2175,10.2175,6.67939,13.5877,20.3515,15.4536,9.10135,10.3337,12.5738,18.8235,12.9742,15.9844,NA,16.4369,6.78122,12.1377,14.0882,13.5539,10.0203,12.6073
pan_gene_10501,1.16241,1.16241,0.658459,1.16271,0.123416,0.146168,NA,0.352642,1.18974,0.0386674,1.60914,1.7786,0.645934,1.1825,0.761161,1.01011,0.177562,0.110843,0.200621,0.287904
pan_gene_10502,NA,NA,NA,6.45462,NA,NA,NA,NA,NA,NA,NA,NA,2.24443,NA,NA,NA,NA,NA,5.29903,NA
pan_gene_10503,0.050213,0.050213,0.0739527,0.0655886,0.0787079,0.0695146,0.051587,0,0.013987,0,0,NA,NA,0,0.0395523,0,0,0.0419481,0.261919,0
pan_gene_10504,0.478819,0.478819,0,0,0.492404,0,0,0,0,0,0,0,0.0347315,0,0,0,0,0.163526,0,0
pan_gene_10505,12.4942,12.4942,9.88155,9.13481,12.2446,11.4177,8.59021,10.3237,10.4115,11.2605,8.92388,9.04105,12.0815,12.6948,10.0503,8.08925,12.7478,10.1843,11.8003,10.251
pan_gene_10506,0.0444914,0.0444914,0.122864,0.442895,0.101182,0.0474184,0,0.203408,0.141574,0.0929409,0.136412,0.237232,0.125814,0.119387,0.0541837,0,0.195328,0.063956,0.174209,0.141954
pan_gene_10507,11.9463,11.9463,NA,14.169,NA,9.08117,NA,NA,11.895,11.984,NA,13.4209,14.0176,NA,NA,7.30065,22.5961,NA,17.456,NA
pan_gene_10509,4.73657,4.73657,NA,6.41466,6.30473,3.80351,5.09371,4.99928,3.82754,6.33307,3.21847,8.08649,NA,9.07446,6.35623,3.19981,9.12942,10.3744,5.52061,8.021
pan_gene_10510,8.15165,8.15165,NA,6.80471,16.3406,13.8828,10.5249,15.8239,14.2106,19.1066,8.42105,10.2115,15.6309,21.2879,11.2561,21.4273,23.6199,5.78808,15.8393,14.0304
pan_gene_10511,17.8294,17.8294,8.88094,15.5847,11.9246,11.946,15.0261,12.4988,17.2139,17.0304,8.94767,16.1022,12.618,10.0845,9.85128,14.1144,21.7339,19.1099,10.1639,12.3546
pan_gene_10512,0.155104,0.155104,0,0,0,0,0,0,0,0,0,0,0.0826591,0,0,0,0,0,0,0
pan_gene_10513,2.00096,2.00096,1.43664,1.65474,3.08205,2.62127,1.67808,2.27355,2.5479,2.12374,NA,2.89541,3.16186,2.30606,1.85632,2.23192,1.42467,3.11513,2.13336,1.82285
pan_gene_10514,0.370408,0.370408,2.35913,2.03022,2.58087,1.25058,0.866952,0.123014,2.66535,0.424694,NA,1.69739,0.0608307,0.0439688,0.0476119,0.060185,0.221079,0.307445,0.160467,0.036968
pan_gene_10515,NA,0.269238,1.84777,2.2427,1.00127,NA,0.234385,1.52694,0.190612,NA,NA,NA,0.0522565,0.235939,2.21503,0.344231,0.395404,1.01031,2.14631,0.236417
pan_gene_10516,23.0647,23.0647,12.2945,12.5951,31.0864,16.1578,13.2146,17.7061,16.0666,19.1833,11.6805,20.8979,12.1889,16.8854,15.7923,12.3334,19.2186,12.7147,23.0041,17.4984
pan_gene_10518,74.0189,74.0189,136.637,113.346,108.678,165.264,51.5384,89.1335,96.6052,130.264,58.0933,118.09,55.0147,67.4221,69.1785,26.8052,74.4987,80.4371,59.9882,74.424
pan_gene_10519,87.1039,87.1039,78.77,67.334,66.5731,61.1457,81.5021,72.6625,70.3857,76.0063,73.5454,54.5875,76.9516,77.876,57.8763,55.3874,82.8996,92.289,73.0619,87.0028
pan_gene_10522,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0.0895254,0,0,NA
pan_gene_10523,36.6312,NA,82.8332,NA,33.321,145.214,67.152,155.709,52.3228,107.283,94.1111,54.5172,NA,NA,NA,38.3227,NA,62.9083,NA,62.9342
pan_gene_10524,5.69164,5.69164,18.0377,NA,17.0853,10.293,15.2142,9.26972,10.26,10.1127,11.6467,19.9982,11.3338,23.3691,15.3252,10.8675,24.2128,NA,15.1977,22.6885
pan_gene_10525,52.307,52.307,60.0928,50.3875,NA,56.3928,69.6801,51.7964,61.6476,54.8163,79.1975,78.3658,NA,57.2117,58.9307,67.9102,72.3863,57.5054,67.4391,72.8512
pan_gene_10526,NA,9.02147,NA,7.65776,NA,11.4028,9.8345,NA,11.2044,NA,NA,6.20607,NA,NA,NA,NA,NA,7.66521,NA,NA
pan_gene_10527,12.2248,12.2248,2.76338,9.99912,6.30113,9.73512,8.99046,5.73667,5.28322,3.13457,4.09685,6.64628,4.87628,3.8467,2.10988,5.0171,4.54862,2.81697,3.18754,8.27484
pan_gene_10528,0,0,0.486161,0.745551,0.964941,0.518147,0.253438,0.399104,0.384097,0.357437,0.482424,NA,0.118778,0.418527,0.787637,0,0.166,0.940713,0.258624,0
pan_gene_10529,9.35951,9.35951,13.6698,9.05385,21.4221,9.59937,25.4797,18.0732,24.0598,12.9479,28.6309,20.7778,22.7427,24.2942,19.9962,29.9444,23.7906,6.20252,24.7551,0.920549
pan_gene_10530,8.34571,8.34571,15.6933,14.5728,15.4733,10.592,16.8948,21.722,16.7695,16.0404,25.3427,16.6937,26.8846,20.8096,21.7271,30.73,14.4743,5.61175,16.1208,16.4139
pan_gene_10531,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
pan_gene_10532,11.5908,11.5908,15.607,14.6889,14.0845,21.3268,18.4592,11.4264,11.6327,19.7707,23.6895,10.3356,13.5676,10.5837,12.9609,11.7617,8.13852,14.7215,9.23088,24.7309
pan_gene_10533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0
pan_gene_10534,0.0780924,0.0780924,0.062673,0.735171,0.222519,1.3598,0.38039,NA,1.47699,0,NA,2.87649,NA,0.340172,0.957829,0.338814,0,0.345259,0.234613,0
pan_gene_10535,5.7851,5.7851,NA,6.05737,4.99268,NA,8.76076,6.29867,6.52716,NA,11.8356,6.61319,NA,6.56198,NA,12.482,NA,5.91983,NA,9.76562
pan_gene_10537,18.0794,18.0794,27.7383,18.1591,19.292,20.633,17.7451,22.7587,17.9217,27.928,24.0439,21.1149,20.413,21.258,21.4999,18.8752,26.1486,21.4405,19.7292,26.952
pan_gene_10538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_10539,10.2775,10.2775,8.76791,7.14555,7.78754,4.61514,7.72608,8.06528,6.08295,8.98469,8.06257,11.4023,8.78678,6.8646,13.8591,7.79554,9.83366,7.91595,8.29443,12.6662
pan_gene_10540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_10541,6.0537,6.0537,9.02166,9.15293,7.98296,8.71201,8.77001,8.18135,7.91916,7.35623,8.99541,8.00145,7.81956,6.09409,7.51154,6.43103,5.80606,9.14621,8.04347,7.09204
pan_gene_10542,51.3777,51.3777,53.9934,39.6305,80.3821,33.1808,48.172,38.188,58.6811,51.8264,58.7098,35.1966,NA,63.9386,39.9614,48.7318,76.0072,37.6341,86.6842,31.7677
pan_gene_10543,2.49694,2.49694,7.00633,18.3344,22.9175,35.0193,4.8427,4.99669,6.01007,3.73725,5.42389,41.8291,1.56336,2.51498,7.86924,1.27368,4.89547,9.65346,7.63492,0.491863
pan_gene_10544,2.85255,2.85255,4.20105,4.32776,8.88124,13.1525,3.71402,4.38598,3.9242,8.28705,6.6169,4.44778,3.74828,5.53938,4.11005,4.4495,5.30794,5.49847,4.48111,5.01065
pan_gene_10545,NA,1.85667,3.97357,2.62163,4.66123,3.21885,4.61824,4.03467,2.19542,4.62299,2.00858,2.33322,3.32075,4.3497,3.2206,3.27801,5.08181,1.67995,4.71181,NA
pan_gene_10546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_10548,NA,NA,NA,NA,NA,NA,NA,0.160953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_10549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
pan_gene_10550,12.9803,12.9803,10.7368,11.2966,10.904,9.56533,13.5239,12.0099,10.9057,12.2889,16.05,8.30883,14.651,14.194,11.4749,13.1369,14.5457,11.906,14.1116,20.3936
pan_gene_10551,19.1304,19.1304,15.8816,13.7316,22.7565,17.832,24.6683,24.242,27.4646,18.5121,19.1616,27.4364,21.8711,23.3452,26.2309,19.205,26.715,28.9068,28.7082,22.3583
pan_gene_10552,2.38576,2.38576,1.35381,1.5767,4.04965,2.07301,2.79414,1.68681,1.85654,2.64795,1.26843,2.43235,2.48594,2.21822,1.94733,0.749366,3.0088,1.43883,2.09169,2.73225
pan_gene_10553,1.57607,1.57607,0.45065,0.293983,0.529829,0.231212,0.96914,0.430526,0.287105,0.408959,0.427916,0.139781,NA,0.64759,0.499527,1.35105,0.897591,0.582701,0.297002,3.69532
pan_gene_10554,0.901411,0.901411,0.428398,0.800673,1.12788,0.686701,2.15055,1.16167,1.37009,0.370661,1.75761,1.03971,1.27038,2.09684,0.97802,0.983957,1.23381,0.8477,1.25798,1.37055
pan_gene_10555,NA,NA,NA,NA,NA,6.2811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_10556,19.6642,19.6642,14.1333,11.6841,14.3734,11.0345,17.6374,15.9529,16.2998,12.153,25.1068,14.9442,21.2241,19.6249,16.8099,20.7074,15.691,16.2888,16.0507,24.6453
pan_gene_10557,0.268165,0.268165,0.111508,0.186575,0.23407,0.132654,0.218241,0.363443,0.103028,0.116754,0,0.0960666,0.267129,0.11064,0.321306,0.164866,0.0485268,0.235729,0.0677553,0.127357
pan_gene_10558,129.999,129.999,126.194,73.6331,154.707,163.712,75.2238,112.552,144.659,156.803,98.3065,90.5102,106.169,104.659,219.356,95.9258,199.74,95.0496,120.042,71.8458
pan_gene_10559,8.75374,8.75374,7.29371,6.79704,9.3849,7.89822,8.46859,9.87214,7.63985,8.58448,11.4506,7.75896,8.94521,9.59711,7.81796,5.81102,8.78322,7.6547,8.87064,10.9699
pan_gene_10560,4.33261,4.33261,1.96781,1.88196,2.05075,1.68998,1.61513,4.51995,2.50039,2.06977,1.07887,1.53808,3.41493,2.66681,1.31573,2.10607,3.38288,1.9324,1.91476,5.01409
pan_gene_10561,58.8934,58.8934,49.2363,121.799,69.8929,59.003,59.6209,76.7117,66.2873,56.4362,131.265,25.3954,75.9409,128.646,64.6482,64.9272,73.7741,58.8041,76.3834,135.36
pan_gene_10562,0,0,0,0.0453291,0.128181,0.430776,0,0.157627,0.159751,0.0584032,0.113289,0.297933,0.110601,0,0,0,0,0.0665058,0.066657,0
pan_gene_10563,NA,0.410046,0.0978648,0.631646,0.50147,0.229222,0.656991,0.549106,0.377128,0.341045,0.786012,0.186619,0.410184,0.65028,0.578129,0,0.363344,0.36272,0.160147,1.24709
pan_gene_10564,2.29751,2.29751,0.0885111,0.109223,0.860753,0.430302,0,0.0703164,0.0976157,0.40993,0.293513,0.0433809,NA,0.133868,0.129144,0,0.886887,0,0.509385,0.0940694
pan_gene_10566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_10567,4.81421,4.81421,5.17501,3.01301,4.51448,3.16215,2.48025,4.23786,4.6436,2.89227,5.60305,2.87853,3.04348,2.81369,2.15072,4.99606,3.42125,5.16492,7.25231,6.10234
pan_gene_10568,110.527,110.527,74.1882,114.102,NA,87.8055,98.6502,83.8458,58.6117,96.3867,75.0995,65.3055,88.0976,87.3115,102.334,63.1702,73.8989,152.407,86.8119,98.6183
pan_gene_10569,79.2375,79.2375,58.2859,88.3904,67.6661,64.4972,44.1366,59.6245,74.2731,75.5594,77.8324,79.703,70.4213,67.7542,64.5676,73.86,60.2546,70.5685,73.3165,80.1819
pan_gene_10570,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,NA,0,0
pan_gene_10571,55.6209,55.6209,61.532,52.945,47.8083,35.4521,50.5593,59.4746,71.7353,54.3713,67.8639,47.3123,63.4457,67.674,41.4482,58.0738,74.1429,45.3861,74.116,74.6155
pan_gene_10572,0,0,0,0,0,NA,0,0,0.0355073,0,0,0.0407906,0,0,0,0,0,0,0,NA
pan_gene_10573,NA,19.782,13.5632,NA,14.1396,NA,NA,10.7156,NA,14.676,14.4061,15.3266,17.3652,14.1879,NA,10.444,NA,NA,NA,13.6401
pan_gene_10574,37.2829,37.2829,115.078,531.992,380.341,751.612,532.113,504.58,153.619,521.867,249.908,614.965,23.2672,128.261,126.728,9.74144,206.871,72.3661,33.089,704.82
pan_gene_10575,1.08472,1.08472,3.56884,6.15292,1.95992,7.44187,1.03092,4.64434,0.469603,0.313345,2.15557,64.7403,0.871369,0.826032,9.78794,0.253324,1.97964,12.1211,6.24081,2.22751
pan_gene_10576,NA,4.55856,7.41513,5.35298,6.98633,6.58957,6.08232,5.45954,NA,NA,5.89098,5.67679,NA,7.51911,NA,6.82818,7.42594,NA,6.89023,7.06149
pan_gene_10577,NA,1.72156,NA,NA,3.34749,3.73422,NA,NA,3.72077,2.26351,NA,NA,3.67508,5.80436,NA,NA,5.59602,NA,5.23807,5.22434
pan_gene_10579,23.5765,23.5765,22.0711,20.0861,33.514,NA,27.9536,29.8,27.3904,20.0742,37.2515,20.1322,22.2237,37.4226,30.6981,21.261,20.1507,36.0992,30.2238,22.754
pan_gene_10580,334.957,334.957,369.429,385.757,288.36,313.902,292.214,341.886,361.755,354.026,401.021,328.834,NA,356.805,286.687,312.63,349.81,304.503,324.383,422.053
pan_gene_10581,64.2453,64.2453,59.6565,45.0554,61.3214,53.1884,34.992,64.1972,32.0976,55.75,41.9451,61.962,NA,59.0666,27.6007,29.3445,44.299,75.5146,35.7143,35.1404
pan_gene_10582,47.3089,47.3089,35.0273,31.7597,47.446,40.6836,36.9695,38.7636,39.1429,51.6534,29.2694,32.2001,41.2437,45.7194,38.6344,28.5643,45.8492,39.095,47.9459,54.5923
pan_gene_10583,0,0,0,0.0689229,0,0.231173,0.0279318,0.114144,0.188765,0.0854983,0.0406639,0.111308,0.0412208,0,0.0608457,0,0.140334,0.168901,0.371947,0.199917
pan_gene_10584,27.5377,27.5377,21.4766,21.2613,NA,28.4286,23.1447,21.0232,28.3669,NA,22.6141,24.8049,19.1915,23.4815,23.7463,22.9045,26.9152,19.7888,24.0976,NA
pan_gene_10587,0.585329,0.585329,0.614504,1.01958,NA,0.482969,0.913588,1.02134,0.919655,1.30982,1.00168,0.380781,0.799859,1.70729,0.931389,0.809931,2.06739,0.430759,0.490145,2.69911
pan_gene_10589,34.2633,34.2633,26.4547,NA,26.5738,23.203,29.8986,32.4739,25.9953,39.4211,39.854,22.1101,25.455,32.3903,27.7388,23.5508,33.2532,26.0551,33.9092,NA
pan_gene_10590,63.2761,63.2761,41.6381,48.6787,49.5737,40.0225,54.7829,60.332,56.6382,49.6479,47.5621,53.2961,67.1743,68.5173,50.2079,50.7954,62.2488,61.8489,60.6597,59.2663
pan_gene_10591,33.1378,33.1378,42.0211,30.5958,52.1334,53.7035,32.7655,50.6212,51.1352,39.3912,29.3015,46.1767,53.3671,47.5512,33.4798,23.8099,53.0138,53.0458,52.0473,42.4273
pan_gene_10592,65.9492,65.9492,39.0665,32.1299,33.2489,34.7054,52.6972,44.243,60.4607,44.7796,51.1767,48.2043,76.0751,53.0177,51.6232,44.3843,42.7036,53.7076,46.0847,82.901
pan_gene_10593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_10594,9.86156,9.86156,5.04669,3.47148,8.26144,8.73563,1.20808,4.40276,2.63252,5.98025,3.0639,3.68943,3.72081,5.43094,1.31738,1.90271,7.58884,5.35216,3.19469,3.23751
pan_gene_10595,6.51516,6.51516,5.67477,5.34093,6.4421,6.05245,7.05978,6.49923,7.86121,5.99925,7.66926,7.24416,6.97543,6.08177,7.41112,6.72894,7.86075,6.93251,7.10628,6.53535
pan_gene_10596,NA,2.07677,8.81979,NA,7.18114,16.1229,4.06323,6.17252,NA,NA,14.5196,NA,NA,7.99755,NA,4.1745,NA,NA,NA,NA
pan_gene_10597,NA,0,NA,0,NA,0,0.0662017,NA,0,0,NA,NA,NA,0,0,0,0,NA,NA,0
pan_gene_10598,1.11081,1.11081,NA,0.563646,NA,1.06315,NA,0.448077,NA,2.69733,NA,NA,0.784047,0.945612,NA,0.102852,1.3183,0.550378,0.303309,NA
pan_gene_10601,16.6805,16.6805,7.70096,7.02704,12.5444,8.3321,13.1114,7.76454,10.2795,12.3659,12.7425,9.12235,9.96321,11.7096,8.36169,7.76073,13.7922,6.79239,14.6358,9.44589
pan_gene_10602,1.2824,1.2824,0.773348,0.678828,0.461324,1.4779,0.496185,2.82587,1.694,0.424561,1.45174,2.07397,1.70906,3.37218,2.3604,2.95078,2.93697,0.813853,1.55121,2.0307
pan_gene_10603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_10606,19.0256,19.0256,19.6414,18.6623,23.1913,17.2308,17.5979,20.2225,19.575,19.5756,20.2056,14.9749,21.2772,22.6316,18.9711,19.2648,20.6453,19.495,24.5348,21.1815
