,pan,B73,Tzi8,Ky21,M162W,Ms71,Oh7B,Oh43,M37W,Mo18W,NC350,HP301,Il14H,P39,CML52,CML69,Ki11,CML228,CML247,CML277,CML322,CML333,Ki3,CML103,Tx303,NC358,B97
23302,pan_gene_68348,NA,NA,NA,NA,NA,NA,NA,0.2011,0.6869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4809
23320,pan_gene_6848,NA,NA,NA,NA,NA,NA,0.2789,NA,0.4067,0.1727,NA,0.3571,0.2213,NA,NA,0.2463,NA,NA,0.251,NA,NA,NA,NA,NA,0.19,0.165
23321,pan_gene_68481,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6989,NA,NA,NA,0.3016,0.2554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23334,pan_gene_6859,NA,NA,0.6573,0.6851,0.549,0.5096,0.6695,NA,0.4923,0.46,NA,NA,NA,NA,0.5115,NA,NA,NA,0.6233,NA,0.6601,NA,0.7117,NA,0.5147,0.6
23378,pan_gene_68983,NA,NA,NA,0.0159,NA,NA,NA,0.0206,NA,NA,NA,NA,0.2168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23412,pan_gene_6921,0,0.0031,0,0.006,0.0072,0.0178,0.0018,0.0028,0.0098,0,0.0021,0,0.0175,0.0092,NA,0.6135,0,0.0066,0.0025,0.0021,0,0.0078,0,0.0048,0.0072,0.0151
23529,pan_gene_70022,NA,NA,NA,0,NA,0.7032,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0.007,NA,NA
23574,pan_gene_7031,0.0038,0,0,0.4383,0.0041,NA,NA,NA,0.0034,NA,0,NA,0.4854,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0.0085,NA,NA
23575,pan_gene_7032,0.0199,0.6898,0.6687,NA,0.6716,NA,0.7957,NA,0.6373,0.6373,0.0137,NA,NA,0.7051,0.6226,0.7647,0.8223,0.8246,0.7457,NA,NA,0.7413,0.722,0.0095,0.6637,NA
23601,pan_gene_70512,NA,NA,NA,0.5175,NA,0.4739,NA,NA,NA,NA,0.7516,NA,0.4067,NA,0.594,NA,0.7519,NA,NA,0.5177,NA,0.7325,0.629,0.5264,0.7077,NA
23610,pan_gene_70567,NA,NA,NA,NA,0.6464,NA,0.7805,NA,NA,NA,NA,0.6923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7533,0.5667,NA,0.7025
23621,pan_gene_70585,NA,NA,NA,0.7009,NA,NA,NA,0.6931,NA,NA,NA,NA,NA,0.0013,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA
23704,pan_gene_71125,NA,NA,NA,NA,NA,NA,NA,NA,0.6774,NA,NA,NA,NA,NA,NA,NA,NA,0.7778,NA,NA,NA,NA,NA,0.5769,NA,NA
23711,pan_gene_71197,NA,NA,0.0052,NA,NA,NA,0.7276,NA,NA,NA,NA,NA,NA,0.7393,0.7157,NA,NA,NA,0.0034,0,NA,NA,0.7638,NA,NA,NA
23769,pan_gene_71605,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0116,NA,NA,NA,NA,0.6169,NA,NA,NA
23803,pan_gene_71864,0.0014,8e-04,0.2284,0.0039,0.0011,0.0018,0.009,0.3485,0.0165,0.0074,0.0037,0.0177,0.0145,0.0352,0.0096,0.0167,0.0112,0.0065,0.0066,0.0059,0.0162,0.0261,0.0118,0.0058,0.0074,0.0103
23820,pan_gene_7198,NA,0.49,0.6849,0.6971,0.6899,NA,NA,0.6615,NA,NA,0.6793,NA,NA,0.7549,NA,NA,NA,NA,0.7508,0.6452,NA,NA,NA,NA,NA,NA
23823,pan_gene_7199,NA,NA,NA,NA,NA,NA,0.6277,NA,0.7027,NA,NA,0.6062,0.7571,0.7091,NA,NA,NA,NA,NA,NA,NA,0.4013,0.6355,0.7068,NA,NA
23827,pan_gene_71998,NA,NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7274,NA,NA,NA
23910,pan_gene_72505,NA,NA,NA,0.6607,0.5154,0.6628,NA,0.7051,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7429,NA,0.5983,NA,NA,NA,NA,NA,0.6667
23918,pan_gene_7256,9e-04,0.0072,0,0.0018,NA,0.0046,0.0055,0.0082,NA,0.0025,0.0016,0.0625,0.0018,9e-04,6e-04,7e-04,0.4165,0.0085,0.0059,0.035,0.0146,0.15,0.0073,0.007,0.0011,0.0062
23983,pan_gene_7299,0,0.0112,0,NA,0.0191,0,0,0,0.0024,0.0024,0.0116,0,0,0.0063,0.3346,0,0,0.0062,0,0.0023,NA,0.0019,0,0.0029,0.002,0
23994,pan_gene_73041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6325,NA,0.0077,NA,0.6109,NA,NA,NA,NA,NA,NA,NA,0.5115,NA,NA
24015,pan_gene_7323,0.0036,0.001,0,0.0057,0.0939,0.1738,0.0098,0.0043,0.1602,0.0068,0.0031,0.005,0.0065,0.1439,0.233,0.164,0.1464,0.1935,0.2165,0.1573,0.1655,0.0145,0.0858,0.1118,0.1644,9e-04
24070,pan_gene_7365,0,0.0046,0.011,0.0204,NA,0.0069,0.1703,NA,7e-04,NA,0.0125,0.2062,0.1897,0.0234,0.0081,0.0015,NA,0.0019,NA,0,0.0175,NA,0.0084,0.0055,NA,NA
24108,pan_gene_7394,NA,NA,NA,NA,NA,NA,NA,0.0802,NA,NA,NA,NA,NA,NA,NA,0.1867,NA,NA,0.09,NA,NA,0.2689,NA,0.2178,0.0242,NA
24130,pan_gene_7411,NA,0,0.0437,0.0527,0.1389,9e-04,0.0031,NA,0,NA,0.0036,0.0057,0.1016,0,0.0066,NA,0.0058,0.2443,0.0241,0.159,0.0231,0.0036,0.1033,0.2351,0.061,0.02
