,pan,B73,Tzi8,Ky21,M162W,Ms71,Oh7B,Oh43,M37W,Mo18W,NC350,HP301,Il14H,P39,CML52,CML69,Ki11,CML228,CML247,CML277,CML322,CML333,Ki3,CML103,Tx303,NC358,B97
25955,pan_gene_8730,0.0057,0.0012,0.0031,0.0012,0,0.18,0.002,0.002,0.3376,0.0056,0.0031,0.0068,0,0,0.0044,0.2356,0.0184,0.0099,0.0012,0.0041,0.014,0.0288,0.0012,0.0032,0.0084,0
25957,pan_gene_8732,NA,0.014,0.0031,0.0074,0.0038,0.0015,0.0142,0.0031,0.3485,0.0066,0.0045,0.0081,0.009,0.0031,0.0062,0.4277,0.003,0.0047,0.4076,0.3918,0.003,0.3939,0.0076,0.0037,0,0.0065
25983,pan_gene_8748,NA,0.0036,0.009,0.0015,0,NA,6e-04,8e-04,NA,NA,9e-04,0.0177,0,0.2655,NA,NA,NA,NA,0.0119,NA,NA,NA,NA,NA,NA,NA
25994,pan_gene_8769,NA,0.001,0.0142,0.0066,0.0019,0.0051,NA,0.0158,0.1304,0.0084,0.0043,0.4924,NA,0.0083,0.0183,0.0766,0.0088,0.0156,0.0061,0.0047,0.0063,0.017,0.0181,NA,0.2864,0.1852
26005,pan_gene_8781,0.0238,8e-04,0.0187,0.0116,0.0026,0.0128,0.009,0.0051,0.0036,0.6057,0.0095,0.0014,0.0175,0.027,7e-04,0.0392,0.0148,0.0042,0.0315,0.0095,0.0075,0.0212,0.0052,0.0134,0.5743,0.0063
26012,pan_gene_8789,8e-04,0.0036,0,NA,NA,NA,NA,NA,0,NA,NA,0.0034,0.008,0.0177,NA,NA,NA,0.1626,NA,0.0155,0.0126,NA,0.0063,0,NA,0.3318
26018,pan_gene_8795,NA,0,0.0015,NA,0.0053,6e-04,0.0134,NA,0.0038,0.012,0.0097,0.0034,0.0113,0.0033,0.0057,0.0034,0.0089,NA,0.0036,NA,0.2398,0.0165,0.0089,0.0146,0.0054,0.0058
26037,pan_gene_8821,0.0055,0.0046,0,0.0034,0.009,0.0038,0,0.0011,0.0473,0.0044,0.0112,0.0038,0.0035,0,0.014,0,0.2029,NA,0,0,0.0166,0,0.0046,0.0014,0.0203,0.0019
26044,pan_gene_8826,0.0087,0,0.0068,0.1828,0.0023,0.0858,0.0031,0.0017,0.0016,0.0103,0.0014,0.002,7e-04,0.0015,0.004,0.0121,0.0016,0.0032,0.005,0.0063,0.2425,0.0086,0.0051,8e-04,0.0025,0.0021
26153,pan_gene_8896,0.7826,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
26156,pan_gene_8899,0.286,0.0016,0.3502,0.5859,0.3192,0.322,0.6764,0.0121,0.4132,0.594,0.4956,0.5855,0.4439,0.408,0.3425,0.4076,0.4574,0.6264,0.5898,0.6021,0.4059,0.4846,0.3681,0.6018,NA,0.6025
26206,pan_gene_8937,0.0204,0,0.0089,0.2341,0,0.0166,0,0,0,0.024,0,0,0,NA,NA,0.0027,0,0,0.0026,0.0028,0,NA,0,0.0016,8e-04,0.0011
26218,pan_gene_89461,NA,NA,NA,NA,NA,NA,0.6836,NA,NA,NA,0.7421,0.685,0.0074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26246,pan_gene_89630,NA,0.43,NA,NA,NA,NA,NA,0.4181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7018,NA,NA,0.7265,0.3609,NA,NA
26341,pan_gene_9017,0.0013,0.0034,0.0065,0.2475,0,0.2019,NA,0,0.1517,0.2382,0.0273,0.0079,0.0015,0.2716,0.1633,0.2704,NA,0.2013,0.2516,0.1828,0.2696,0.2558,0.1974,NA,0.2571,0.0753
26362,pan_gene_90350,NA,NA,NA,NA,NA,NA,NA,NA,0.7405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
26423,pan_gene_90703,0.7953,NA,NA,0.7436,0.6457,0.634,0.7707,NA,0.7248,0.6042,0.8168,0.6009,0.6718,0.6716,0.835,0.6553,0.7565,0.7363,0.6687,0.6923,0.533,0.7905,0.5921,NA,0.6871,0.6265
26470,pan_gene_91006,NA,NA,NA,NA,NA,NA,0.7448,NA,NA,NA,NA,0.6042,NA,NA,0.7091,NA,NA,NA,NA,NA,0.5689,0.7173,0.4984,NA,NA,0.6875
26504,pan_gene_9127,0.0171,0.0115,0.0911,0.2173,0.028,0.0162,0.019,0.0582,0.004,0.086,0.1381,0.0217,0.0513,0.0652,0.1321,0.0816,0.1383,0.2038,0.0159,0.1641,0.0056,0.0893,0.1047,0.0891,0.0477,0.0397
26592,pan_gene_9193,0.7363,0.7907,0.7364,0,0.7314,0.721,0.7932,0.7168,0.7443,0.7239,0.0072,0.6881,0.7159,0.7745,0.7082,0.7462,0.7878,7e-04,0.7698,0.7129,0.7097,0.7793,0.7362,0.762,0.7079,0.24
26634,pan_gene_9225,NA,0,0,0.0808,NA,0.1349,0.0065,0,NA,0.1449,0.022,NA,0,0.1149,0.1254,NA,0.2667,0.032,0.1225,0.0038,0,NA,0.1134,NA,NA,0.0179
26682,pan_gene_9263,0.0013,0,0,0,0,0.0024,0.0132,0,0,0.001,0.0037,0,0.0012,7e-04,NA,0,0,0.6628,0,0.0012,0.0013,0,0,0.0021,9e-04,0.0015
26700,pan_gene_9278,0.0019,0.003,0.035,0.0024,0.2728,0.001,0.0069,0.0013,0.0543,0,0.0045,0.0125,0.0094,0.0017,0.0025,0.0038,0.0095,0.005,0.0014,0.0055,0.0026,0.0044,0.0043,0.0244,0.0062,0.1543
26717,pan_gene_92857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7116,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
26733,pan_gene_9296,0.1027,0.1301,0.3261,0.0733,0.1222,0.1447,0.1151,0.1162,0.0841,0.1344,NA,0.1391,0.1124,0.1555,NA,0.1179,0.1816,0.1348,0.152,0.0017,0.1106,0.0904,0.0908,0.1135,0.1309,0.1285
26743,pan_gene_9304,9e-04,0.0021,0.0864,0.0015,0.0031,0.0025,0.0042,0.4692,0.0075,NA,0.1328,0.0357,0.1065,0.4562,0.0905,0.0061,0.1512,0.1695,NA,0.0021,0.0103,0.5818,0.0895,0.0112,0.0023,0.0063
26780,pan_gene_93371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2766,NA,NA
26802,pan_gene_9353,0.0105,0.0027,0.0081,0.1636,0.0034,0.0065,0.0023,0.1615,0.0012,0.0188,0.0049,0.0014,0.0061,0.0026,0.0011,0.1365,0.0038,0.0047,0.0074,0.0019,0.2342,0.0037,0.0046,0.1769,0.0208,0.0081
26957,pan_gene_9474,0.1703,0.0098,NA,0.0353,NA,0.0565,0.1009,NA,0.0447,0.0342,0.2884,0.2493,0.196,0.0451,0.0722,0.1133,0.1304,0.2125,0.3175,0.0178,0.1423,0.0905,0.0376,0.2553,0.0541,0.0824
27052,pan_gene_95370,NA,NA,NA,NA,NA,NA,NA,NA,0.0148,NA,0.7515,0.722,NA,NA,NA,NA,NA,0.7761,0.7713,NA,0.6779,NA,NA,NA,NA,NA
27068,pan_gene_9549,0.2849,0.144,0.1894,NA,NA,NA,NA,NA,NA,NA,0.0086,NA,NA,NA,0.1818,0.1579,NA,0.3333,NA,0.1833,NA,0.3804,NA,0.0319,NA,0.0024
27084,pan_gene_95598,NA,NA,NA,NA,0.386,0.578,NA,NA,0.5174,NA,NA,0.6051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515
27163,pan_gene_96232,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.781,NA,0,0,NA,NA,NA,NA,0.0109,0,0,0,NA,0.7421
27187,pan_gene_96482,NA,0.0314,0,0.0012,0.0022,0,0,0,0,0.0029,0.0013,0,0,0.0024,NA,0,0,9e-04,0,0.005,0.4935,0.0061,0.0122,0.002,0.0014,0
27191,pan_gene_965,0.0112,0,0.0049,6e-04,0,0,0,0,0,NA,6e-04,0.0071,0.0038,0.2297,0.0022,0.2077,NA,0.0014,0,0.0113,0.1676,7e-04,5e-04,0.0132,NA,0.0015
27194,pan_gene_96533,NA,0.0074,0,NA,NA,NA,NA,NA,NA,NA,0.0157,NA,NA,NA,NA,NA,NA,0.8571,NA,NA,NA,0.7368,NA,NA,NA,NA
27197,pan_gene_96561,NA,NA,NA,NA,NA,0.5981,0.747,NA,NA,0.6465,NA,0.6567,0.5736,0.6211,0.7405,NA,NA,NA,0.6519,NA,0.3868,NA,NA,NA,NA,0.6081
27202,pan_gene_96571,NA,0.7125,0.6616,0.5666,0.7055,0.5495,NA,NA,NA,NA,NA,0.6335,NA,0.7609,0.6904,NA,NA,0.7111,0.5542,0.7048,NA,0.7427,0.7573,NA,0.5519,0.681
27206,pan_gene_96596,NA,0.6304,NA,NA,0.5778,NA,NA,NA,NA,NA,0.8021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27227,pan_gene_96703,NA,0,NA,NA,0.0012,NA,0,NA,NA,NA,NA,0,0.001,NA,NA,NA,0.2275,0,0.0021,NA,NA,NA,NA,NA,NA,0.0017
27255,pan_gene_96905,NA,NA,0.7078,NA,NA,0.6626,NA,NA,0.6703,NA,NA,0.5524,NA,NA,0.6152,NA,NA,0.768,NA,NA,0.6193,NA,NA,NA,0.6774,NA
27270,pan_gene_96970,NA,NA,NA,NA,NA,NA,NA,0.0143,NA,0.0443,0.0397,NA,NA,0.0079,0.0421,NA,NA,0.2984,NA,NA,NA,0.0724,0.0278,0.4225,NA,NA
27303,pan_gene_97140,NA,NA,NA,NA,NA,NA,NA,NA,0.6304,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27329,pan_gene_9725,0.0099,0.0195,0.0161,0.0137,0.0036,0.0132,0.0061,0.0112,0.0194,0.0053,0.0072,0.0046,0.0212,0.4894,NA,0,0.365,0.0121,0.1963,0.0043,0.5379,NA,0.3905,0.2927,0.0044,0.0013
27331,pan_gene_9726,0.0038,0,0.0034,0,0.0016,0.0101,0.0081,0.0055,8e-04,0.0067,0.002,0.0019,0.0072,5e-04,NA,0.0025,0.0029,5e-04,9e-04,0.0034,0.0016,0.0018,0.0032,0.2571,0.0021,8e-04
27383,pan_gene_97601,NA,NA,NA,0.5671,NA,0.6975,0.4469,NA,0.7203,NA,0.7363,NA,NA,0.6891,NA,0.572,0.6196,NA,NA,NA,NA,0.6228,NA,NA,NA,NA
27385,pan_gene_97611,NA,0.2905,NA,NA,NA,NA,NA,NA,NA,0.2434,NA,NA,NA,NA,0.2143,0.0685,NA,0.247,0.2674,NA,NA,0.2954,0.2426,NA,0.2288,0.3884
27389,pan_gene_97637,NA,0.0176,NA,NA,NA,NA,NA,NA,0.4975,NA,NA,0.6484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4593,NA,NA,NA
27390,pan_gene_9764,0.6497,0.6867,0.724,0.7593,0.6124,0.7204,0.5574,0.6921,0.7633,0.6272,0.6571,0.7043,0.6684,0.6982,0.5819,0.7922,0.75,0.6128,0.6231,0.6722,0.6866,0.7483,0.7129,0.7338,0.6637,0.64
27477,pan_gene_98069,NA,0.0022,0.3857,0.0028,NA,0.349,0.0021,0,8e-04,0.2304,NA,0.0533,0,0,0.0047,0.2124,0,8e-04,0.0053,0.0012,0,8e-04,NA,0.6104,0,0
27514,pan_gene_98224,NA,0.7489,0.7713,NA,NA,NA,NA,0.5858,NA,NA,NA,0.5548,0.6525,NA,NA,0.5801,NA,NA,0.6,NA,0.7027,0.6974,0.6902,0.7568,0.719,NA
27539,pan_gene_98350,NA,0.5696,0.6225,0.7072,NA,0.3969,NA,NA,NA,0.5748,NA,0.5779,NA,NA,NA,0.6224,0.8444,0.5087,0.6729,NA,0.6529,NA,NA,NA,0.7257,NA
27545,pan_gene_9836,NA,NA,0.71,0.0231,0.6864,0.0467,0.78,0.1174,0.0292,0.6571,0.7216,0.7145,0.6654,NA,0.7638,NA,0.7485,NA,NA,0.6746,NA,NA,0.6358,NA,NA,0.6778
27581,pan_gene_98571,0.3515,NA,0.0051,NA,NA,0.0018,0.4182,0.0058,0.0137,0.0035,NA,0.0084,0.0043,7e-04,0.0073,0.0075,NA,NA,NA,6e-04,0.0015,NA,0.0095,0.0044,NA,NA
27607,pan_gene_98667,NA,0,0.0051,0.0397,0.0037,0.0059,0.1572,7e-04,0.0149,0.0023,0.0035,0,0.3784,0.0085,0.0799,0.013,NA,0.0553,0.4669,NA,0,0.0169,0.3966,0,7e-04,0.08
27614,pan_gene_987,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.7169,NA,NA,0.7023,NA,NA,NA,NA,NA,NA,NA,NA,0
27638,pan_gene_98803,NA,NA,0.017,NA,NA,0.0075,0.011,NA,0.0017,NA,NA,0.0033,NA,0.0084,NA,0.0229,0.0184,0.0067,0.022,0.0025,0.0067,NA,0.2585,NA,NA,NA
27695,pan_gene_99105,NA,0.1206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7105,NA,NA,NA,NA,NA,NA,NA,NA
27715,pan_gene_99193,NA,0.5435,NA,0.6859,0.6647,0.5802,0.7821,0.6746,0.0326,0.6056,0.7324,0.7358,NA,0.7382,0.6778,0.5448,NA,0.7333,NA,0.0188,0.0916,0.6366,NA,0.7072,0.5966,0.0198
27723,pan_gene_99206,NA,NA,0.5628,NA,0.6403,NA,NA,NA,NA,0.0204,NA,NA,0.5837,NA,NA,0.6133,NA,0.697,NA,NA,0.6176,NA,NA,NA,NA,NA
27727,pan_gene_99211,NA,0,0,NA,NA,0.6702,NA,NA,NA,0,0.0052,NA,0,NA,NA,0.6842,NA,0,NA,NA,NA,NA,NA,NA,NA,0.7078
27728,pan_gene_99212,NA,0.485,NA,NA,NA,NA,NA,NA,NA,0.7097,NA,NA,NA,NA,NA,0.5962,NA,0.6982,NA,NA,NA,NA,NA,NA,NA,NA
27730,pan_gene_99214,NA,0.4201,0.6562,NA,NA,NA,0.7387,NA,NA,0.6049,NA,NA,0.4279,NA,0.4468,0.5611,NA,0.7672,NA,0.6508,0.5721,0.7095,NA,NA,NA,0.7054
27732,pan_gene_99216,NA,NA,NA,0.0116,0.6996,NA,NA,NA,0.7582,NA,NA,NA,0.6055,NA,0.0028,NA,NA,NA,0.6919,NA,NA,0.7408,NA,NA,NA,NA
27733,pan_gene_99218,NA,NA,0.5304,NA,NA,NA,NA,0.5775,NA,NA,NA,NA,NA,0.7857,NA,NA,NA,0.7532,NA,NA,NA,NA,NA,NA,NA,NA
27738,pan_gene_99224,NA,0.5681,NA,NA,0.6484,NA,NA,0.7665,NA,NA,NA,NA,NA,0.727,0.6476,NA,NA,0.6638,0.6624,0.5472,NA,0.7135,NA,0.6599,NA,NA
27741,pan_gene_9924,NA,NA,NA,NA,NA,0.7077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.673,NA,0.7118,0.7145,0.3864,NA,0.6571
27764,pan_gene_9934,0.7013,0.5659,0.4487,0.5595,0.5636,0.6684,0.5449,0.505,0.5471,0.2645,0.5164,0.5652,0.5935,NA,NA,NA,0.5519,0.5742,0.6871,NA,NA,0.5755,0.4891,0.6455,0.4724,NA
27792,pan_gene_9945,0.0286,0.2523,NA,0.0391,0.0321,0.0131,NA,NA,0.0346,0.0187,NA,0.0501,NA,0.0308,0.0347,0.0196,0.0321,0.0288,0.0261,0.0272,0.0365,0.0212,0.0268,0.0355,NA,0.0267
27795,pan_gene_9948,0.0359,0.1727,0.157,0.0433,0.0398,0.1109,0.0499,0.049,0.031,NA,0.2074,0.1169,0.0591,0.0249,0.055,0.0382,0.2496,0.0382,0.1213,0.0926,0.0377,0.0358,0.0337,NA,0.0227,0.0383
27804,pan_gene_9951,0.7818,0.7493,0.6605,0.7546,0.7315,0.7175,0.8539,0.7205,0.686,0.7185,NA,NA,0.7677,NA,0.7586,0.7518,0.7892,0.7909,0.8199,0.6619,0.7042,0.8663,0.7217,0.7192,0.7273,0.737
27824,pan_gene_996,0.0247,0,0.0029,0.0096,0.0101,0.0097,0.1518,0.0441,0.1655,0.0026,0.1073,0.0123,0.0082,0.0102,0.0016,0.0153,0.039,0.0185,0.0142,0.4973,0.5268,0.0273,0.0168,0.256,0.0235,0.0084
27825,pan_gene_9960,0.2448,0.1439,0.2735,NA,0.359,0.2019,0.3124,0.2808,0.2852,0.3094,0.3172,0.2853,0.3688,0.1299,NA,0.2104,0.2635,0.2757,0.24,0.2907,0.3311,0.2349,0.1457,0.4023,0.1161,0.2968
27828,pan_gene_99621,NA,NA,NA,0.4957,NA,NA,NA,NA,NA,0.6029,NA,0.6536,NA,NA,NA,NA,NA,0.4319,0.4839,NA,0.5616,NA,NA,NA,0.5848,NA
27830,pan_gene_99633,NA,0.7845,NA,NA,0.652,NA,NA,NA,0.719,NA,NA,NA,NA,NA,0.6942,NA,0.8375,NA,NA,0.2934,NA,NA,NA,0.7002,NA,NA
27868,pan_gene_99820,NA,NA,0.0105,NA,0.0021,0.0021,NA,0,NA,NA,0.6996,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0098,0,0,0,NA,NA
